,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
0,50,Gianluigi DonnarummaG. Donnarumma Goalkeeper,Gianluigi Donnarumma,"Feb 25, 1999 (23)",,€50.00m
1,,Gianluigi DonnarummaG. Donnarumma,,,,
2,,Goalkeeper,,,,
3,1,Keylor NavasK. NavasGoalkeeper,Keylor Navas,"Dec 15, 1986 (35)",,€8.00m
4,,Keylor NavasK. Navas,,,,
5,,Goalkeeper,,,,
6,60,Alexandre LetellierA. LetellierGoalkeeper,Alexandre Letellier,"Dec 11, 1990 (31)",,€400Th.
7,,Alexandre LetellierA. Letellier,,,,
8,,Goalkeeper,,,,
9,-,Garissone InnocentG. InnocentGoalkeeper,Garissone Innocent,"Apr 16, 2000 (22)",,€300Th.
10,,Garissone InnocentG. Innocent,,,,
11,,Goalkeeper,,,,
12,40,Denis FranchiD. FranchiGoalkeeper,Denis Franchi,"Oct 22, 2002 (19)",,€250Th.
13,,Denis FranchiD. Franchi,,,,
14,,Goalkeeper,,,,
15,5,MarquinhosMarquinhos Centre-Back,Marquinhos,"May 14, 1994 (28)",,€70.00m
16,,MarquinhosMarquinhos,,,,
17,,Centre-Back,,,,
18,3,Presnel KimpembeP. KimpembeCentre-Back,Presnel Kimpembe,"Aug 13, 1995 (26)",,€40.00m
19,,Presnel KimpembeP. Kimpembe,,,,
20,,Centre-Back,,,,
21,24,Thilo KehrerT. KehrerCentre-Back,Thilo Kehrer,"Sep 21, 1996 (25)",,€22.00m
22,,Thilo KehrerT. Kehrer,,,,
23,,Centre-Back,,,,
24,4,Sergio RamosS. RamosCentre-Back,Sergio Ramos,"Mar 30, 1986 (36)",,€6.00m
25,,Sergio RamosS. Ramos,,,,
26,,Centre-Back,,,,
27,31,El Chadaille BitshiabuE. BitshiabuCentre-Back,El Chadaille Bitshiabu,"May 16, 2005 (17)",,€2.00m
28,,El Chadaille BitshiabuE. Bitshiabu,,,,
29,,Centre-Back,,,,
30,25,Nuno MendesN. MendesLeft-Back,Nuno Mendes,"Jun 19, 2002 (19)",,€40.00m
31,,Nuno MendesN. Mendes,,,,
32,,Left-Back,,,,
33,22,Abdou DialloA. DialloLeft-Back,Abdou Diallo,"May 4, 1996 (26)",,€18.00m
34,,Abdou DialloA. Diallo,,,,
35,,Left-Back,,,,
36,14,Juan BernatJ. BernatLeft-Back,Juan Bernat,"Mar 1, 1993 (29)",,€12.00m
37,,Juan BernatJ. Bernat,,,,
38,,Left-Back,,,,
39,20,Layvin KurzawaL. KurzawaLeft-Back,Layvin Kurzawa,"Sep 4, 1992 (29)",,€5.00m
40,,Layvin KurzawaL. Kurzawa,,,,
41,,Left-Back,,,,
42,2,Achraf HakimiA. HakimiRight-Back,Achraf Hakimi,"Nov 4, 1998 (23)",,€65.00m
43,,Achraf HakimiA. Hakimi,,,,
44,,Right-Back,,,,
45,17,Colin DagbaC. DagbaRight-Back,Colin Dagba,"Sep 9, 1998 (23)",,€7.00m
46,,Colin DagbaC. Dagba,,,,
47,,Right-Back,,,,
48,8,Leandro ParedesL. Paredes Defensive Midfield,Leandro Paredes,"Jun 29, 1994 (27)",,€17.00m
49,,Leandro ParedesL. Paredes,,,,
50,,Defensive Midfield,,,,
51,15,Danilo PereiraD. PereiraDefensive Midfield,Danilo Pereira,"Sep 9, 1991 (30)",,€14.00m
52,,Danilo PereiraD. Pereira,,,,
53,,Defensive Midfield,,,,
54,39,Nathan BitumazalaN. BitumazalaDefensive Midfield,Nathan Bitumazala,"Dec 10, 2002 (19)",,€400Th.
55,,Nathan BitumazalaN. Bitumazala,,,,
56,,Defensive Midfield,,,,
57,41,Anfane AhamadaA. AhamadaDefensive Midfield,Anfane Ahamada,"May 7, 2002 (20)",,€100Th.
58,,Anfane AhamadaA. Ahamada,,,,
59,,Defensive Midfield,,,,
60,6,Marco VerrattiM. Verratti Central Midfield,Marco Verratti,"Nov 5, 1992 (29)",,€50.00m
61,,Marco VerrattiM. Verratti,,,,
62,,Central Midfield,,,,
63,18,Georginio WijnaldumG. WijnaldumCentral Midfield,Georginio Wijnaldum,"Nov 11, 1990 (31)",,€18.00m
64,,Georginio WijnaldumG. Wijnaldum,,,,
65,,Central Midfield,,,,
66,27,Idrissa GueyeI. GueyeCentral Midfield,Idrissa Gueye,"Sep 26, 1989 (32)",,€12.00m
67,,Idrissa GueyeI. Gueye,,,,
68,,Central Midfield,,,,
69,21,Ander HerreraA. HerreraCentral Midfield,Ander Herrera,"Aug 14, 1989 (32)",,€10.00m
70,,Ander HerreraA. Herrera,,,,
71,,Central Midfield,,,,
72,28,Junior Dina EbimbeJ. Dina EbimbeCentral Midfield,Junior Dina Ebimbe,"Nov 21, 2000 (21)",,€5.00m
73,,Junior Dina EbimbeJ. Dina Ebimbe,,,,
74,,Central Midfield,,,,
75,34,Xavi SimonsX. SimonsAttacking Midfield,Xavi Simons,"Apr 21, 2003 (19)",,€4.00m
76,,Xavi SimonsX. Simons,,,,
77,,Attacking Midfield,,,,
78,38,Edouard MichutE. MichutAttacking Midfield,Edouard Michut,"Mar 4, 2003 (19)",,€3.00m
79,,Edouard MichutE. Michut,,,,
80,,Attacking Midfield,,,,
81,35,Ismaël GharbiI. GharbiAttacking Midfield,Ismaël Gharbi,"Apr 10, 2004 (18)",,€1.50m
82,,Ismaël GharbiI. Gharbi,,,,
83,,Attacking Midfield,,,,
84,10,NeymarNeymarLeft Winger,Neymar,"Feb 5, 1992 (30)",,€75.00m
85,,NeymarNeymar,,,,
86,,Left Winger,,,,
87,23,Julian DraxlerJ. Draxler Left Winger,Julian Draxler,"Sep 20, 1993 (28)",,€18.00m
88,,Julian DraxlerJ. Draxler,,,,
89,,Left Winger,,,,
90,30,Lionel MessiL. MessiRight Winger,Lionel Messi,"Jun 24, 1987 (34)",,€50.00m
91,,Lionel MessiL. Messi,,,,
92,,Right Winger,,,,
93,11,Ángel Di MaríaÁ. Di MaríaRight Winger,Ángel Di María,"Feb 14, 1988 (34)",,€12.00m
94,,Ángel Di MaríaÁ. Di María,,,,
95,,Right Winger,,,,
96,7,Kylian MbappéK. MbappéCentre-Forward,Kylian Mbappé,"Dec 20, 1998 (23)",,€160.00m
97,,Kylian MbappéK. Mbappé,,,,
98,,Centre-Forward,,,,
99,9,Mauro IcardiM. IcardiCentre-Forward,Mauro Icardi,"Feb 19, 1993 (29)",,€22.00m
100,,Mauro IcardiM. Icardi,,,,
101,,Centre-Forward,,,,
0,1.0,Anthony LopesA. LopesGoalkeeper,Anthony Lopes,"Oct 1, 1990 (31)",,€10.00m
1,,Anthony LopesA. Lopes,,,,
2,,Goalkeeper,,,,
3,30.0,Julian PollersbeckJ. PollersbeckGoalkeeper,Julian Pollersbeck,"Aug 16, 1994 (27)",,€800Th.
4,,Julian PollersbeckJ. Pollersbeck,,,,
5,,Goalkeeper,,,,
6,16.0,Malcolm BarcolaM. BarcolaGoalkeeper,Malcolm Barcola,"May 14, 1999 (23)",,€250Th.
7,,Malcolm BarcolaM. Barcola,,,,
8,,Goalkeeper,,,,
9,4.0,Castello LukebaC. LukebaCentre-Back,Castello Lukeba,"Dec 17, 2002 (19)",,€20.00m
10,,Castello LukebaC. Lukeba,,,,
11,,Centre-Back,,,,
12,5.0,Jason DenayerJ. DenayerCentre-Back,Jason Denayer,"Jun 28, 1995 (26)",,€14.00m
13,,Jason DenayerJ. Denayer,,,,
14,,Centre-Back,,,,
15,2.0,Sinaly DiomandéS. DiomandéCentre-Back,Sinaly Diomandé,"Apr 9, 2001 (21)",,€5.00m
16,,Sinaly DiomandéS. Diomandé,,,,
17,,Centre-Back,,,,
18,27.0,Jérôme BoatengJ. BoatengCentre-Back,Jérôme Boateng,"Sep 3, 1988 (33)",,€3.50m
19,,Jérôme BoatengJ. Boateng,,,,
20,,Centre-Back,,,,
21,21.0,Damien Da SilvaD. Da SilvaCentre-Back,Damien Da Silva,"May 17, 1988 (34)",,€1.00m
22,,Damien Da SilvaD. Da Silva,,,,
23,,Centre-Back,,,,
24,3.0,EmersonEmersonLeft-Back,Emerson,"Aug 3, 1994 (27)",,€14.00m
25,,EmersonEmerson,,,,
26,,Left-Back,,,,
27,12.0,HenriqueHenriqueLeft-Back,Henrique,"Apr 25, 1994 (28)",,€1.50m
28,,HenriqueHenrique,,,,
29,,Left-Back,,,,
30,17.0,Malo GustoM. GustoRight-Back,Malo Gusto,"May 19, 2003 (19)",,€12.00m
31,,Malo GustoM. Gusto,,,,
32,,Right-Back,,,,
33,14.0,Léo DuboisL. Dubois Right-Back,Léo Dubois,"Sep 14, 1994 (27)",,€10.00m
34,,Léo DuboisL. Dubois,,,,
35,,Right-Back,,,,
36,23.0,Thiago MendesT. MendesDefensive Midfield,Thiago Mendes,"Mar 15, 1992 (30)",,€9.00m
37,,Thiago MendesT. Mendes,,,,
38,,Defensive Midfield,,,,
39,28.0,Tanguy NdombéléT. NdombéléCentral Midfield,Tanguy Ndombélé,"Dec 28, 1996 (25)",,€30.00m
40,,Tanguy NdombéléT. Ndombélé,,,,
41,,Central Midfield,,,,
42,8.0,Houssem AouarH. AouarCentral Midfield,Houssem Aouar,"Jun 30, 1998 (23)",,€25.00m
43,,Houssem AouarH. Aouar,,,,
44,,Central Midfield,,,,
45,25.0,Maxence CaqueretM. CaqueretCentral Midfield,Maxence Caqueret,"Feb 15, 2000 (22)",,€25.00m
46,,Maxence CaqueretM. Caqueret,,,,
47,,Central Midfield,,,,
48,24.0,Pape CheikhP. CheikhCentral Midfield,Pape Cheikh,"Aug 8, 1997 (24)",,€1.80m
49,,Pape CheikhP. Cheikh,,,,
50,,Central Midfield,,,,
51,19.0,Habib KeïtaH. KeïtaCentral Midfield,Habib Keïta,"Feb 5, 2002 (20)",,€800Th.
52,,Habib KeïtaH. Keïta,,,,
53,,Central Midfield,,,,
54,15.0,Romain FaivreR. FaivreRight Midfield,Romain Faivre,"Jul 14, 1998 (23)",,€15.00m
55,,Romain FaivreR. Faivre,,,,
56,,Right Midfield,,,,
57,10.0,Lucas PaquetáLucas PaquetáAttacking Midfield,Lucas Paquetá,"Aug 27, 1997 (24)",,€35.00m
58,,Lucas PaquetáLucas Paquetá,,,,
59,,Attacking Midfield,,,,
60,22.0,Jeff Reine-AdélaïdeJ. Reine-AdélaïdeAttacking Midfield,Jeff Reine-Adélaïde,"Jan 17, 1998 (24)",,€14.00m
61,,Jeff Reine-AdélaïdeJ. Reine-Adélaïde,,,,
62,,Attacking Midfield,,,,
63,7.0,Karl Toko EkambiK. Toko EkambiLeft Winger,Karl Toko Ekambi,"Sep 14, 1992 (29)",,€15.00m
64,,Karl Toko EkambiK. Toko Ekambi,,,,
65,,Left Winger,,,,
66,31.0,Lenny PintorL. PintorLeft Winger,Lenny Pintor,"Aug 5, 2000 (21)",,€1.50m
67,,Lenny PintorL. Pintor,,,,
68,,Left Winger,,,,
69,26.0,Bradley BarcolaB. BarcolaLeft Winger,Bradley Barcola,"Sep 2, 2002 (19)",,€1.00m
70,,Bradley BarcolaB. Barcola,,,,
71,,Left Winger,,,,
72,20.0,TetêTetêRight Winger,Tetê,"Feb 15, 2000 (22)",,€22.00m
73,,TetêTetê,,,,
74,,Right Winger,,,,
75,18.0,Rayan CherkiR. CherkiRight Winger,Rayan Cherki,"Aug 17, 2003 (18)",,€18.00m
76,,Rayan CherkiR. Cherki,,,,
77,,Right Winger,,,,
78,9.0,Moussa DembéléM. DembéléCentre-Forward,Moussa Dembélé,"Jul 12, 1996 (25)",,€20.00m
79,,Moussa DembéléM. Dembélé,,,,
80,,Centre-Forward,,,,
81,11.0,Tino KadewereT. KadewereCentre-Forward,Tino Kadewere,"Jan 5, 1996 (26)",,€6.00m
82,,Tino KadewereT. Kadewere,,,,
83,,Centre-Forward,,,,
0,16.0,Alfred GomisA. GomisGoalkeeper,Alfred Gomis,"Sep 5, 1993 (28)",,€8.00m
1,,Alfred GomisA. Gomis,,,,
2,,Goalkeeper,,,,
3,40.0,Dogan AlemdarD. AlemdarGoalkeeper,Dogan Alemdar,"Oct 29, 2002 (19)",,€3.50m
4,,Dogan AlemdarD. Alemdar,,,,
5,,Goalkeeper,,,,
6,1.0,Romain SalinR. SalinGoalkeeper,Romain Salin,"Jul 29, 1984 (37)",,€400Th.
7,,Romain SalinR. Salin,,,,
8,,Goalkeeper,,,,
9,30.0,Pépé BonetP. BonetGoalkeeper,Pépé Bonet,"Feb 13, 2003 (19)",,€400Th.
10,,Pépé BonetP. Bonet,,,,
11,,Goalkeeper,,,,
12,4.0,Loïc BadéL. BadéCentre-Back,Loïc Badé,"Apr 11, 2000 (22)",,€12.00m
13,,Loïc BadéL. Badé,,,,
14,,Centre-Back,,,,
15,6.0,Nayef AguerdN. AguerdCentre-Back,Nayef Aguerd,"Mar 30, 1996 (26)",,€12.00m
16,,Nayef AguerdN. Aguerd,,,,
17,,Centre-Back,,,,
18,23.0,Warmed OmariW. OmariCentre-Back,Warmed Omari,"Apr 23, 2000 (22)",,€8.00m
19,,Warmed OmariW. Omari,,,,
20,,Centre-Back,,,,
21,31.0,Jérémy GélinJ. GélinCentre-Back,Jérémy Gélin,"Apr 24, 1997 (25)",,€2.50m
22,,Jérémy GélinJ. Gélin,,,,
23,,Centre-Back,,,,
24,3.0,Adrien TruffertA. TruffertLeft-Back,Adrien Truffert,"Nov 20, 2001 (20)",,€12.00m
25,,Adrien TruffertA. Truffert,,,,
26,,Left-Back,,,,
27,25.0,Birger MelingB. MelingLeft-Back,Birger Meling,"Dec 17, 1994 (27)",,€7.00m
28,,Birger MelingB. Meling,,,,
29,,Left-Back,,,,
30,27.0,Hamari TraoréH. Traoré Right-Back,Hamari Traoré,"Jan 27, 1992 (30)",,€10.00m
31,,Hamari TraoréH. Traoré,,,,
32,,Right-Back,,,,
33,22.0,Lorenz AssignonL. AssignonRight-Back,Lorenz Assignon,"Jun 22, 2000 (21)",,€3.00m
34,,Lorenz AssignonL. Assignon,,,,
35,,Right-Back,,,,
36,26.0,Lesley UgochukwuL. UgochukwuDefensive Midfield,Lesley Ugochukwu,"Mar 26, 2004 (18)",,€3.00m
37,,Lesley UgochukwuL. Ugochukwu,,,,
38,,Defensive Midfield,,,,
39,28.0,Jonas MartinJ. MartinDefensive Midfield,Jonas Martin,"Apr 9, 1990 (32)",,€2.50m
40,,Jonas MartinJ. Martin,,,,
41,,Defensive Midfield,,,,
42,14.0,Benjamin BourigeaudB. BourigeaudCentral Midfield,Benjamin Bourigeaud,"Jan 14, 1994 (28)",,€18.00m
43,,Benjamin BourigeaudB. Bourigeaud,,,,
44,,Central Midfield,,,,
45,8.0,Baptiste SantamariaB. SantamariaCentral Midfield,Baptiste Santamaria,"Mar 9, 1995 (27)",,€14.00m
46,,Baptiste SantamariaB. Santamaria,,,,
47,,Central Midfield,,,,
48,20.0,Flavien TaitF. TaitCentral Midfield,Flavien Tait,"Feb 2, 1993 (29)",,€8.00m
49,,Flavien TaitF. Tait,,,,
50,,Central Midfield,,,,
51,19.0,Andy DioufA. DioufCentral Midfield,Andy Diouf,"May 17, 2003 (19)",,€500Th.
52,,Andy DioufA. Diouf,,,,
53,,Central Midfield,,,,
54,21.0,Lovro MajerL. MajerAttacking Midfield,Lovro Majer,"Jan 17, 1998 (24)",,€20.00m
55,,Lovro MajerL. Majer,,,,
56,,Attacking Midfield,,,,
57,7.0,Martin TerrierM. TerrierLeft Winger,Martin Terrier,"Mar 4, 1997 (25)",,€25.00m
58,,Martin TerrierM. Terrier,,,,
59,,Left Winger,,,,
60,10.0,Kamaldeen SulemanaK. SulemanaLeft Winger,Kamaldeen Sulemana,"Feb 15, 2002 (20)",,€18.00m
61,,Kamaldeen SulemanaK. Sulemana,,,,
62,,Left Winger,,,,
63,17.0,Loum TchaounaL. TchaounaLeft Winger,Loum Tchaouna,"Sep 8, 2003 (18)",,€2.00m
64,,Loum TchaounaL. Tchaouna,,,,
65,,Left Winger,,,,
66,39.0,Mathys TelM. TelLeft Winger,Mathys Tel,"Apr 27, 2005 (17)",,€2.00m
67,,Mathys TelM. Tel,,,,
68,,Left Winger,,,,
69,11.0,Jérémy DokuJ. DokuRight Winger,Jérémy Doku,"May 27, 2002 (20)",,€20.00m
70,,Jérémy DokuJ. Doku,,,,
71,,Right Winger,,,,
72,24.0,Gaëtan LabordeG. LabordeCentre-Forward,Gaëtan Laborde,"May 3, 1994 (28)",,€18.00m
73,,Gaëtan LabordeG. Laborde,,,,
74,,Centre-Forward,,,,
75,9.0,Serhou GuirassyS. GuirassyCentre-Forward,Serhou Guirassy,"Mar 12, 1996 (26)",,€10.00m
76,,Serhou GuirassyS. Guirassy,,,,
77,,Centre-Forward,,,,
0,1,Matz SelsMatz SelsGoalkeeper,Matz Sels,"Feb 26, 1992 (30)",,€8.00m
1,,Matz SelsMatz Sels,,,,
2,,Goalkeeper,,,,
3,16,Eiji KawashimaE. KawashimaGoalkeeper,Eiji Kawashima,"Mar 20, 1983 (39)",,€200Th.
4,,Eiji KawashimaE. Kawashima,,,,
5,,Goalkeeper,,,,
6,24,Alexander DjikuA. DjikuCentre-Back,Alexander Djiku,"Aug 9, 1994 (27)",,€10.00m
7,,Alexander DjikuA. Djiku,,,,
8,,Centre-Back,,,,
9,22,Gerzino NyamsiG. NyamsiCentre-Back,Gerzino Nyamsi,"Jan 22, 1997 (25)",,€7.50m
10,,Gerzino NyamsiG. Nyamsi,,,,
11,,Centre-Back,,,,
12,5,Lucas PerrinL. PerrinCentre-Back,Lucas Perrin,"Nov 19, 1998 (23)",,€5.00m
13,,Lucas PerrinL. Perrin,,,,
14,,Centre-Back,,,,
15,29,Ismaël DoukouréI. DoukouréCentre-Back,Ismaël Doukouré,"Jul 24, 2003 (18)",,€1.50m
16,,Ismaël DoukouréI. Doukouré,,,,
17,,Centre-Back,,,,
18,23,Maxime Le MarchandM. Le MarchandCentre-Back,Maxime Le Marchand,"Oct 11, 1989 (32)",,€1.20m
19,,Maxime Le MarchandM. Le Marchand,,,,
20,,Centre-Back,,,,
21,19,Anthony CaciA. CaciLeft-Back,Anthony Caci,"Jul 1, 1997 (24)",,€7.00m
22,,Anthony CaciA. Caci,,,,
23,,Left-Back,,,,
24,2,Frédéric GuilbertF. GuilbertRight-Back,Frédéric Guilbert,"Dec 24, 1994 (27)",,€7.00m
25,,Frédéric GuilbertF. Guilbert,,,,
26,,Right-Back,,,,
27,4,Karol FilaK. FilaRight-Back,Karol Fila,"Jun 13, 1998 (23)",,€1.20m
28,,Karol FilaK. Fila,,,,
29,,Right-Back,,,,
30,27,Ibrahima SissokoI. SissokoDefensive Midfield,Ibrahima Sissoko,"Oct 27, 1997 (24)",,€8.00m
31,,Ibrahima SissokoI. Sissoko,,,,
32,,Defensive Midfield,,,,
33,6,Jean-Eudes AholouJ. AholouDefensive Midfield,Jean-Eudes Aholou,"Mar 20, 1994 (28)",,€3.00m
34,,Jean-Eudes AholouJ. Aholou,,,,
35,,Defensive Midfield,,,,
36,38,Habib DiarraH. DiarraDefensive Midfield,Habib Diarra,"Jan 3, 2004 (18)",,€600Th.
37,,Habib DiarraH. Diarra,,,,
38,,Defensive Midfield,,,,
39,17,Jean-Ricner BellegardeJ. BellegardeCentral Midfield,Jean-Ricner Bellegarde,"Jun 27, 1998 (23)",,€8.00m
40,,Jean-Ricner BellegardeJ. Bellegarde,,,,
41,,Central Midfield,,,,
42,14,Sanjin PrcicS. PrcicCentral Midfield,Sanjin Prcic,"Nov 20, 1993 (28)",,€4.00m
43,,Sanjin PrcicS. Prcic,,,,
44,,Central Midfield,,,,
45,11,Dimitri LiénardD. Liénard Central Midfield,Dimitri Liénard,"Feb 13, 1988 (34)",,€700Th.
46,,Dimitri LiénardD. Liénard,,,,
47,,Central Midfield,,,,
48,10,Adrien ThomassonA. ThomassonAttacking Midfield,Adrien Thomasson,"Dec 10, 1993 (28)",,€9.00m
49,,Adrien ThomassonA. Thomasson,,,,
50,,Attacking Midfield,,,,
51,-,Nordine KandilN. KandilAttacking Midfield,Nordine Kandil,"Oct 31, 2001 (20)",,€400Th.
52,,Nordine KandilN. Kandil,,,,
53,,Attacking Midfield,,,,
54,37,Aymeric AhmedA. AhmedAttacking Midfield,Aymeric Ahmed,"Nov 8, 2003 (18)",,€250Th.
55,,Aymeric AhmedA. Ahmed,,,,
56,,Attacking Midfield,,,,
57,15,Moïse Sahi DionM. DionSecond Striker,Moïse Sahi Dion,"Dec 20, 2001 (20)",,€800Th.
58,,Moïse Sahi DionM. Dion,,,,
59,,Second Striker,,,,
60,25,Ludovic AjorqueL. AjorqueCentre-Forward,Ludovic Ajorque,"Feb 25, 1994 (28)",,€16.00m
61,,Ludovic AjorqueL. Ajorque,,,,
62,,Centre-Forward,,,,
63,20,Habib DialloH. DialloCentre-Forward,Habib Diallo,"Jun 18, 1995 (26)",,€12.00m
64,,Habib DialloH. Diallo,,,,
65,,Centre-Forward,,,,
66,9,Kévin GameiroK. GameiroCentre-Forward,Kévin Gameiro,"May 9, 1987 (35)",,€2.00m
67,,Kévin GameiroK. Gameiro,,,,
68,,Centre-Forward,,,,
69,8,Majeed WarisM. WarisCentre-Forward,Majeed Waris,"Sep 19, 1991 (30)",,€1.20m
70,,Majeed WarisM. Waris,,,,
71,,Centre-Forward,,,,
0,16.0,Alexander NübelA. NübelGoalkeeper,Alexander Nübel,"Sep 30, 1996 (25)",,€8.00m
1,,Alexander NübelA. Nübel,,,,
2,,Goalkeeper,,,,
3,1.0,Radoslaw MajeckiR. MajeckiGoalkeeper,Radoslaw Majecki,"Nov 16, 1999 (22)",,€3.00m
4,,Radoslaw MajeckiR. Majecki,,,,
5,,Goalkeeper,,,,
6,30.0,Vito MannoneV. MannoneGoalkeeper,Vito Mannone,"Mar 2, 1988 (34)",,€500Th.
7,,Vito MannoneV. Mannone,,,,
8,,Goalkeeper,,,,
9,5.0,Benoît BadiashileB. BadiashileCentre-Back,Benoît Badiashile,"Mar 26, 2001 (21)",,€30.00m
10,,Benoît BadiashileB. Badiashile,,,,
11,,Centre-Back,,,,
12,6.0,Axel DisasiA. DisasiCentre-Back,Axel Disasi,"Mar 11, 1998 (24)",,€17.00m
13,,Axel DisasiA. Disasi,,,,
14,,Centre-Back,,,,
15,3.0,Guillermo MaripánG. MaripánCentre-Back,Guillermo Maripán,"May 6, 1994 (28)",,€15.00m
16,,Guillermo MaripánG. Maripán,,,,
17,,Centre-Back,,,,
18,34.0,Chrislain MatsimaC. MatsimaCentre-Back,Chrislain Matsima,"May 15, 2002 (20)",,€5.00m
19,,Chrislain MatsimaC. Matsima,,,,
20,,Centre-Back,,,,
21,43.0,Jean MarcelinJ. MarcelinCentre-Back,Jean Marcelin,"Feb 12, 2000 (22)",,€3.00m
22,,Jean MarcelinJ. Marcelin,,,,
23,,Centre-Back,,,,
24,12.0,Caio HenriqueCaio HenriqueLeft-Back,Caio Henrique,"Jul 31, 1997 (24)",,€20.00m
25,,Caio HenriqueCaio Henrique,,,,
26,,Left-Back,,,,
27,14.0,Ismail JakobsI. JakobsLeft-Back,Ismail Jakobs,"Aug 17, 1999 (22)",,€7.00m
28,,Ismail JakobsI. Jakobs,,,,
29,,Left-Back,,,,
30,2.0,VandersonVandersonRight-Back,Vanderson,"Jun 21, 2001 (20)",,€18.00m
31,,VandersonVanderson,,,,
32,,Right-Back,,,,
33,26.0,Ruben AguilarR. AguilarRight-Back,Ruben Aguilar,"Apr 26, 1993 (29)",,€10.00m
34,,Ruben AguilarR. Aguilar,,,,
35,,Right-Back,,,,
36,19.0,Djibril SidibéD. SidibéRight-Back,Djibril Sidibé,"Jul 29, 1992 (29)",,€8.00m
37,,Djibril SidibéD. Sidibé,,,,
38,,Right-Back,,,,
39,8.0,Aurélien TchouameniA. TchouameniDefensive Midfield,Aurélien Tchouameni,"Jan 27, 2000 (22)",,€60.00m
40,,Aurélien TchouameniA. Tchouameni,,,,
41,,Defensive Midfield,,,,
42,28.0,PeléPeléDefensive Midfield,Pelé,"Sep 29, 1991 (30)",,€1.00m
43,,PeléPelé,,,,
44,,Defensive Midfield,,,,
45,22.0,Youssouf FofanaY. FofanaCentral Midfield,Youssouf Fofana,"Jan 10, 1999 (23)",,€18.00m
46,,Youssouf FofanaY. Fofana,,,,
47,,Central Midfield,,,,
48,11.0,Jean LucasJean LucasCentral Midfield,Jean Lucas,"Jun 22, 1998 (23)",,€8.00m
49,,Jean LucasJean Lucas,,,,
50,,Central Midfield,,,,
51,36.0,Eliot MatazoE. MatazoCentral Midfield,Eliot Matazo,"Feb 15, 2002 (20)",,€8.00m
52,,Eliot MatazoE. Matazo,,,,
53,,Central Midfield,,,,
54,4.0,Cesc FàbregasC. FàbregasCentral Midfield,Cesc Fàbregas,"May 4, 1987 (35)",,€2.50m
55,,Cesc FàbregasC. Fàbregas,,,,
56,,Central Midfield,,,,
57,33.0,Félix LemaréchalF. LemaréchalCentral Midfield,Félix Lemaréchal,"Aug 7, 2003 (18)",,€600Th.
58,,Félix LemaréchalF. Lemaréchal,,,,
59,,Central Midfield,,,,
60,17.0,Aleksandr GolovinA. GolovinAttacking Midfield,Aleksandr Golovin,"May 30, 1996 (26)",,€25.00m
61,,Aleksandr GolovinA. Golovin,,,,
62,,Attacking Midfield,,,,
63,33.0,Maghnes AklioucheM. AklioucheAttacking Midfield,Maghnes Akliouche,"Feb 25, 2002 (20)",,€1.00m
64,,Maghnes AklioucheM. Akliouche,,,,
65,,Attacking Midfield,,,,
66,37.0,Sofiane DiopS. DiopLeft Winger,Sofiane Diop,"Jun 9, 2000 (21)",,€20.00m
67,,Sofiane DiopS. Diop,,,,
68,,Left Winger,,,,
69,7.0,Gelson MartinsG. MartinsRight Winger,Gelson Martins,"May 11, 1995 (27)",,€15.00m
70,,Gelson MartinsG. Martins,,,,
71,,Right Winger,,,,
72,27.0,Krépin DiattaK. Diatta Right Winger,Krépin Diatta,"Feb 25, 1999 (23)",,€13.00m
73,,Krépin DiattaK. Diatta,,,,
74,,Right Winger,,,,
