Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Kike Hermoso Real Betis,22, Defender,,,1,1,-,2,-,1,-,-,-,1,7.77,90
Karim Benzema Real Madrid,34, FW,,,31(1),27,12,4,1.9,1.1,0.3,1,0.8,1.1,7.69,2600
Vinícius Júnior Real Madrid,21, AM(L),FW,,30(5),17,10,2.3,1.9,2.7,2.1,0.7,1.7,2.5,7.56,2701
Ousmane Dembélé Barcelona,25, AM(CLR),FW,,15(6),1,13,2.2,2.1,2.8,0.8,0.2,1.3,1.8,7.46,1413
Miguel Gutiérrez Real Madrid,20, D(L),,,3,-,1,-,1,2,2.7,-,0.7,0.3,7.44,262
Gerard Moreno Villarreal,30, AM(CR),FW,,14(3),9,3,2.2,1.8,2.3,0.8,0.5,1.7,1.8,7.44,1194
Nabil Fekir Real Betis,28, AM(CLR),FW,,33(1),6,8,2.5,2.5,2.4,2.7,0.3,2.4,3,7.38,2812
Andrii Lunin Real Madrid,23, GK,,,2,-,-,-,-,-,-,-,-,-,7.32,180
Casemiro Real Madrid,30, DMC,,,31(1),1,3,1.3,0.8,0.6,1.2,0.1,0.4,1,7.26,2576
Joselu Deportivo Alaves,32, FW,,,35(2),14,4,2.6,0.9,0.5,1.5,0.3,0.9,2.1,7.25,3126
Vedat Muriqi Mallorca,28, FW,,,16,5,3,3.2,0.9,0.6,1,0.4,0.9,2.6,7.22,1439
Iker Muniain Athletic Bilbao,29, AM(CLR),,,34(1),4,10,1.2,3.1,1.9,2.3,0.1,1.6,1.8,7.19,2803
Iago Aspas Celta Vigo,34, AM(CR),FW,,36(1),18,6,2.4,1.5,1.4,1.4,0.5,0.9,1.8,7.19,3094
Daniel Parejo Villarreal,33, M(C),,,32(1),2,10,0.5,2,0.8,1.7,-,0.7,0.8,7.17,2712
John Donald Elche,21, Midfielder,,,2,-,-,1,1,0.5,-,-,-,0.5,7.17,180
Mikel Merino Real Sociedad,25, M(C),,,33(1),3,2,1.3,0.9,0.8,2,0.1,1.6,1.3,7.16,2896
Antoine Griezmann Barcelona,31, AM(CLR),FW,,3,-,-,1.3,-,1,1.3,-,3,1.7,7.15,264
Pedri Barcelona,19, AM(C),,,10(2),3,1,1,1.3,1.3,1.4,-,1.4,1.2,7.12,891
Memphis Depay Barcelona,28, AM(CL),FW,,20(8),12,2,2.2,1.6,1.6,1.6,0.5,1.2,2.7,7.1,1850
Yannick Carrasco Atletico,28, M(CLR),FW,,28(6),6,6,1.5,1.6,2.6,1.1,0.4,1.5,2.3,7.08,2594
Sergio Busquets Barcelona,33, DMC,,,36,2,-,0.4,0.9,0.6,1.9,0.1,0.4,0.6,7.05,3202
Dani Alves Barcelona,39, D(R),M(CR),,13(1),1,3,0.4,1.6,0.9,0.4,-,0.4,0.7,7.03,1103
Raúl de Tomás Espanyol,27, FW,,,33(1),17,3,3.1,0.7,1.5,1.6,0.9,1.8,2.6,7.02,2928
Luka Modric Real Madrid,36, M(C),,,25(3),2,8,1,1.3,1.1,1.1,-,0.8,1.1,7.01,2050
Javi Galán Celta Vigo,27, D(L),M(L),,37,-,3,0.5,0.6,2.3,2,0.3,1,1.9,7.01,3300
Rubén Alcaraz Cadiz,31, DMC,,,12(2),2,-,1.6,1,0.8,2.5,0.1,0.8,1.5,7.01,1106
Mathías Olivera Getafe,24, D(L),M(L),,32,1,3,0.8,1,0.8,1.4,0.1,1.2,1.9,7,2807
Óscar Trejo Rayo Vallecano,34, M(CLR),,,24(8),3,9,0.7,1.9,2.6,2.1,0.1,2.1,2.4,7,2023
Gonçalo Guedes Valencia,25, AM(CLR),FW,,30(6),11,6,1.9,1.2,1.8,2.1,0.1,1.3,2.8,6.99,2614
Jordi Alba Barcelona,33, D(L),M(L),,30,2,10,1,1.9,0.2,0.6,0.4,0.1,0.8,6.99,2648
Toni Kroos Real Madrid,32, M(C),,,25(3),1,3,1.6,1.8,0.3,1.4,-,0.4,0.3,6.98,2112
Gabriel Paulista Valencia,31, D(CR),,,19,2,1,0.3,0.2,0.1,0.6,0.1,0.2,0.5,6.98,1602
Pierre-Emerick Aubameyang Barcelona,32, M(CLR),FW,,13(4),11,1,2.2,0.5,0.2,0.4,0.4,0.5,1.7,6.98,1092
Eder Militão Real Madrid,24, D(CR),,,34,1,2,1,0.4,0.3,1.1,-,0.2,0.5,6.97,3033
Ferland Mendy Real Madrid,26, D(L),M(L),,20(2),2,1,0.5,0.9,1.6,1.1,0.1,0.6,1,6.96,1739
Etienne Capoue Villarreal,33, D(C),M(CL),,26(4),1,1,0.5,0.2,1.4,1.5,-,0.5,0.8,6.96,2298
José Luis Morales Levante,34, D(R),M(CLR),FW,31(4),13,7,2.3,1,1.8,1.1,0.4,1.6,2.6,6.96,2727
Marcos Acuña Sevilla,30, D(L),M(CL),,26(5),1,3,0.5,1.4,1.4,1.5,-,0.9,1.2,6.96,2266
Marc Bartra Real Betis,31, D(CR),DMC,,23,1,-,0.7,0.2,0.3,0.7,-,0.2,0.5,6.95,1994
Íñigo Martínez Athletic Bilbao,31, D(C),,,26(1),3,-,1,0.1,0.1,1,0.1,0.1,0.3,6.94,2344
Abdessamad Ezzalzouli Barcelona,20, Forward,,,6(4),1,-,1.6,0.6,3.4,1.5,0.2,1.2,2.3,6.94,582
Juan Foyth Villarreal,24, D(CR),DMC,,22(3),1,1,0.2,0.4,1.1,0.9,-,0.3,1,6.94,1932
David García Osasuna,28, D(C),,,35,4,-,0.9,0.3,0.1,0.6,-,0.1,0.3,6.94,3106
Enes Ünal Getafe,25, FW,,,33(4),16,1,2.3,0.8,0.7,1.9,0.4,1.5,2.9,6.94,2812
Sergio Canales Real Betis,31, M(CLR),,,33(1),5,7,1.6,1.9,0.9,1.1,0.3,1.2,1.5,6.94,2803
Martín Montoya Real Betis,31, D(LR),M(R),,6,-,1,0.8,0.5,-,1.7,-,0.3,1.2,6.94,519
Pablo Maffeo Mallorca,24, D(R),M(R),,35,1,3,0.8,0.8,1.4,1.7,0.1,1.6,1.4,6.93,2952
Jesús Vallejo Real Madrid,25, D(CR),,,4(1),-,-,-,0.2,0.4,0.2,-,-,-,6.93,341
Mauro Arambarri Getafe,26, DMC,,,31,-,5,1.2,1.5,1,1.5,-,1.2,1.4,6.93,2667
Juanmi Real Betis,29, AM(CLR),FW,,26(7),16,4,1.7,0.6,0.9,0.5,0.5,0.9,2.2,6.93,2149
Gerard Piqué Barcelona,35, D(C),,,25(2),1,-,0.7,0.2,0.2,0.6,-,0.1,0.3,6.93,2097
Carlos Soler Valencia,25, M(CLR),,,28(4),11,5,1.3,1.7,0.6,1.4,0.1,0.4,1.2,6.93,2485
Martin Braithwaite Barcelona,31, AM(CLR),FW,,3(1),2,1,1.8,0.5,0.5,0.5,0.5,1.3,2,6.93,237
Guido Rodríguez Real Betis,28, DMC,,,29(3),1,2,0.7,0.4,0.6,1.6,0.1,0.5,0.8,6.92,2533
Lucas Torró Osasuna,27, DMC,,,32(1),1,-,1,0.3,0.7,1.5,-,0.7,1,6.92,2734
Álex Moreno Real Betis,28, D(L),M(L),,28(2),5,3,0.9,0.7,0.8,1.3,0.1,0.6,1.5,6.92,2408
Mathew Ryan Real Sociedad,30, GK,,,3,-,-,-,-,-,-,-,-,-,6.92,270
Jules Koundé Sevilla,23, D(CR),,,31(1),2,1,0.4,0.5,0.8,0.9,0.1,0.4,0.8,6.92,2738
Arnaut Danjuma Villarreal,25, AM(L),FW,,17(6),10,3,2.7,0.7,1.4,0.8,0.7,0.8,1.4,6.91,1478
Frenkie de Jong Barcelona,25, D(C),DMC,,30(2),3,3,0.5,1.3,1.6,1.1,0.2,0.9,1.2,6.91,2486
João Félix Atletico,22, AM(CL),FW,,13(11),8,4,1.6,0.8,1.3,2.4,0.4,0.8,1.2,6.91,1267
Lucas Boyé Elche,26, AM(L),FW,,22(2),7,3,2,0.9,2.4,1.7,0.5,3.3,5.9,6.91,1724
Mikel Oyarzabal Real Sociedad,25, AM(CLR),FW,,19(3),9,3,1.9,1.8,1,1.2,0.2,1.3,1.7,6.9,1674
David Silva Real Sociedad,36, M(CLR),FW,,22(3),2,4,0.8,1.6,1.2,1,0.1,1.1,1.5,6.9,1734
Giovani Lo Celso Villarreal,26, M(CR),FW,,11(5),1,1,1.1,1.1,1.6,2.6,0.2,1.1,1.6,6.89,998
Marco Asensio Real Madrid,26, AM(CLR),,,19(12),10,-,2.1,1,0.9,0.6,0.1,0.8,0.6,6.89,1729
Yuri Berchiche Athletic Bilbao,32, D(L),M(L),,11(3),1,2,0.6,0.5,0.6,1.4,-,0.5,0.9,6.89,1016
Ferran Torres Barcelona,22, AM(LR),FW,,17(1),4,4,2.9,0.7,0.7,1.1,0.9,1.1,2.5,6.88,1418
Germán Pezzella Real Betis,30, D(C),,,22(1),1,-,0.8,-,0.1,0.3,0.1,-,0.1,6.87,1991
Héctor Bellerín Real Betis,27, D(R),M(R),,22(1),-,2,0.4,1.1,1,0.6,0.1,0.3,1.1,6.87,1979
Ilias Akhomach Barcelona,18, Forward,,,2,-,-,2,2,0.5,2,-,0.5,0.5,6.87,126
Alfonso Pedraza Villarreal,26, D(L),M(L),,19(9),4,4,0.8,0.9,1.1,0.9,0.1,0.7,1.5,6.86,1706
Robin Le Normand Real Sociedad,25, D(C),,,37,1,1,0.5,0.1,-,0.6,0.1,0.1,0.4,6.86,3330
Erik Lamela Sevilla,30, AM(CLR),,,10(10),5,2,1.1,1.1,0.9,0.7,0.3,1.5,1.5,6.86,1016
Pau Torres Villarreal,25, D(C),,,33,5,1,0.7,0.3,0.8,0.5,-,0.2,0.8,6.86,2858
Santiago Comesaña Rayo Vallecano,25, M(C),,,32(3),1,2,0.9,0.8,1.4,1.6,-,1,1.3,6.86,2698
Daniel Carvajal Real Madrid,30, D(R),,,17(7),1,3,0.4,1,0.4,0.5,-,0.4,1,6.85,1553
Sergi Darder Espanyol,28, M(CL),,,36,3,9,1.2,1,1.5,1.1,-,0.9,1.1,6.85,3136
Oier Olazábal Espanyol,32, GK,,,1(1),-,-,-,-,-,-,-,-,-,6.85,135
Ronald Araújo Barcelona,23, D(C),,,25(5),4,-,0.6,0.3,0.2,0.4,-,0.2,0.6,6.84,2271
Luis Milla Granada,27, DMC,,,33(1),3,3,0.6,1.2,0.8,1.9,-,0.7,1,6.84,2785
Brais Méndez Celta Vigo,25, AM(CR),FW,,36(1),4,5,1.5,0.9,0.9,1.5,0.2,1.3,2.1,6.83,3036
Ivan Rakitic Sevilla,34, M(C),,,26(9),4,6,0.9,1.2,0.2,1,-,0.3,0.9,6.83,2188
José Giménez Atletico,27, D(CR),,,24,1,1,0.8,0.2,0.3,0.9,0.1,-,0.4,6.82,2047
Eduardo Camavinga Real Madrid,19, DMC,,,13(13),2,1,0.5,0.5,0.8,1.1,-,0.4,0.6,6.82,1233
Yeray Álvarez Athletic Bilbao,27, D(C),,,21(1),-,-,0.3,0.2,0.1,0.6,-,0.1,0.5,6.82,1860
Alfonso Espino Cadiz,30, D(L),,,37,2,2,0.7,1,0.6,1.2,0.2,0.6,1.2,6.82,3330
Santi Mina Celta Vigo,26, AM(LR),FW,,30(3),7,3,1.8,0.6,0.4,1.2,0.3,1,1.9,6.82,2380
Geoffrey Kondogbia Atletico,29, D(C),DMC,,21(7),1,2,0.5,0.4,1,1.3,-,0.9,1,6.81,1885
Julen Agirrezabala Athletic Bilbao,21, Goalkeeper,,,4,-,-,-,-,-,-,-,-,-,6.81,360
Saúl Ñíguez Atletico,27, D(CL),M(CLR),,2(1),-,1,1.3,0.3,0.3,0.7,0.3,0.3,0.7,6.81,200
Álvaro García Rayo Vallecano,29, AM(L),,,34(2),7,4,1.9,1.2,0.6,0.7,0.3,0.4,1.9,6.81,3006
Thomas Lemar Atletico,26, AM(CLR),,,17(7),4,5,1.2,1.3,1.4,0.9,0.1,1.4,0.8,6.8,1450
Rodrigo de Paul Atletico,28, AM(CLR),FW,,24(12),3,1,0.7,1.4,0.7,1.6,-,0.9,1,6.8,2155
Jeremías Ledesma Cadiz,29, GK,,,38,-,-,-,0.1,0.1,0.2,-,-,0.1,6.8,3420
Dani Vivian Athletic Bilbao,22, D(C),,,22(2),2,1,0.7,0.1,0.2,0.8,-,0.3,0.6,6.8,1985
Antoine Griezmann Atletico,31, AM(CLR),FW,,21(5),3,4,1.7,1,0.7,1,0.4,0.9,1.3,6.8,1709
Stefan Savic Atletico,31, D(C),,,28,-,-,0.5,0.1,0.3,0.8,0.1,0.1,0.4,6.8,2440
William Carvalho Real Betis,30, DMC,,,20(13),2,3,1,0.7,1.5,0.8,-,0.8,0.7,6.8,1806
Alejandro Catena Rayo Vallecano,27, D(C),,,36,2,2,0.6,0.2,0.1,0.4,0.1,0.2,0.3,6.8,3240
Thibaut Courtois Real Madrid,30, GK,,,36,-,-,-,-,-,-,-,-,-,6.79,3240
Omar Alderete Valencia,25, D(C),,,28(1),2,-,0.6,0.1,0.4,0.2,-,0.1,0.7,6.79,2412
Oussama Idrissi Cadiz,26, AM(LR),,,11(1),1,1,1.8,1.8,1.9,0.3,0.2,1.3,1.3,6.79,910
Kevin Vázquez Celta Vigo,29, D(R),,,16(1),-,1,0.2,0.6,0.6,1.1,-,0.7,1.2,6.79,1332
Gavi Barcelona,17, AM(CL),,,28(6),2,5,0.9,0.6,1.6,2,0.4,1.4,1.8,6.79,2331
Rafinha Real Sociedad,29, M(CLR),,,13(4),1,-,0.8,0.5,1.1,2.2,-,1.3,1.5,6.78,1060
Samuel Chukwueze Villarreal,23, AM(CR),,,12(15),3,3,1.2,1.1,2.5,0.6,0.4,0.7,1.7,6.78,1330
Nacho Vidal Osasuna,27, D(R),,,33(2),-,1,0.6,0.6,0.7,0.9,0.1,0.3,1.3,6.78,2906
Denis Suárez Celta Vigo,28, M(CLR),,,33(5),4,6,0.6,1.2,1.1,1,-,0.4,1.5,6.78,2839
Diego López Espanyol,40, GK,,,36,-,-,-,-,-,0.2,-,-,-,6.78,3179
Alex Berenguer Athletic Bilbao,26, D(LR),M(CLR),FW,24(10),3,6,1.4,1.3,1,1.4,0.4,1.1,2.1,6.78,2174
Cristiano Piccini Valencia,29, D(R),,,3(3),1,-,0.5,0.3,1.5,0.5,-,0.3,0.7,6.77,322
Edgar Badia Elche,30, GK,,,24,-,-,-,-,-,-,-,-,-,6.77,2160
Aritz Elustondo Real Sociedad,28, D(CR),,,22(8),4,1,0.5,-,0.2,0.7,0.1,-,0.4,6.77,2102
Reinildo Atletico,28, D(CL),M(L),,15(2),-,-,0.1,0.2,0.3,1.2,-,0.3,0.8,6.77,1300
Lucas Ocampos Sevilla,27, M(CLR),FW,,23(7),6,4,1.7,0.6,1.2,1.4,0.1,1.4,2.5,6.76,2128
Óscar De Marcos Athletic Bilbao,33, D(LR),M(CR),,19(3),1,2,0.1,0.8,0.2,0.4,0.1,0.3,0.5,6.76,1685
Yassine Bounou Sevilla,31, GK,,,31,-,2,-,0.1,-,0.1,-,-,-,6.76,2790
Juan Miranda Real Betis,22, D(L),,,9(4),-,2,0.5,0.5,0.3,1,-,0.1,0.7,6.76,782
Sergiño Dest Barcelona,21, D(LR),M(R),,17(4),-,3,0.6,0.9,1.8,0.9,-,1.1,1.6,6.76,1516
Federico Valverde Real Madrid,23, M(CLR),,,19(12),-,1,1.1,0.8,1,0.3,0.2,0.3,0.8,6.76,1832
Ante Budimir Osasuna,30, FW,,,20(8),8,2,1.6,0.4,0.4,1.1,0.6,1,2.2,6.76,1741
Martín Zubimendi Real Sociedad,23, DMC,,,26(10),2,1,0.6,0.4,0.5,0.6,0.1,0.3,0.8,6.76,2587
José Campaña Levante,29, M(CLR),,,16(4),2,2,0.7,1.2,1.1,1.1,0.1,0.5,1.1,6.75,1429
David Alaba Real Madrid,29, D(CL),M(CL),,30,2,3,0.7,0.7,0.1,0.2,0.1,0.1,0.6,6.75,2645
Diego Carlos Sevilla,29, D(C),,,34,3,-,0.9,0.1,0.1,0.6,-,0.1,0.4,6.75,2961
Edgar González Real Betis,25, D(C),DMC,,14(7),1,1,0.2,0.1,0.2,0.4,-,-,0.2,6.74,1457
Diego Rico Real Sociedad,29, D(CL),M(L),,19(2),-,-,0.5,0.7,0.6,0.8,0.2,0.3,1.2,6.74,1647
Adama Traoré Barcelona,26, M(CLR),FW,,4(7),-,2,0.8,0.6,2.2,0.6,0.2,0.5,1,6.74,379
Sergio Asenjo Villarreal,32, GK,,,6,-,-,-,-,-,-,-,-,-,6.74,540
Leandro Cabrera Espanyol,30, D(CL),,,37,2,-,0.5,0.3,-,0.6,0.1,0.1,0.4,6.74,3330
Álvaro Negredo Cadiz,36, FW,,,24(10),7,2,2,0.6,0.6,1,0.3,0.5,1.5,6.74,2157
Darwin Machís Granada,29, AM(LR),,,16(9),4,2,1.5,0.7,1.4,1.2,0.2,0.9,2.2,6.73,1381
Luís Maximiano Granada,23, GK,,,35,-,-,-,-,0.1,0.1,-,0.1,-,6.73,3137
Dani Rodríguez Mallorca,34, AM(CLR),,,33(3),3,3,1.2,1.2,1.7,1.9,0.1,2.3,2.4,6.73,2841
Lucas Vázquez Real Madrid,30, D(R),M(R),,20(9),3,-,0.6,1.1,0.6,1.2,0.2,0.7,1.2,6.73,1835
Papu Gómez Sevilla,34, M(CL),FW,,19(10),5,1,1.2,0.8,1,1.7,-,1,1.2,6.73,1792
Alexander Isak Real Sociedad,22, FW,,,26(6),6,2,2.3,0.6,1.4,0.9,0.5,1.1,1.8,6.73,2157
Carlos Akapo Cadiz,29, D(LR),,,21(4),-,-,0.4,0.3,0.5,1,0.1,0.4,1.1,6.72,1847
Víctor Ruiz Real Betis,33, D(C),,,17(1),-,-,0.4,0.3,0.1,0.1,0.1,0.1,0.7,6.72,1425
Stole Dimitrievski Rayo Vallecano,28, GK,,,30(1),-,-,-,-,-,0.2,-,-,-,6.72,2771
Jorge Cuenca Getafe,22, D(C),,,31(1),1,-,0.5,0.1,0.1,0.4,-,0.1,0.4,6.72,2686
Manu Trigueros Villarreal,30, M(CLR),FW,,27(8),6,4,1.2,0.7,0.2,1.2,-,0.8,1,6.72,2191
Iñaki Williams Athletic Bilbao,27, AM(CLR),FW,,32(6),8,5,2.5,0.9,0.7,1.1,0.8,1.1,2.4,6.71,2787
Sergio Herrera Osasuna,29, GK,,,36,-,-,-,-,0.1,0.3,-,-,0.1,6.71,3240
Gerónimo Rulli Villarreal,30, GK,,,32,-,-,-,-,-,0.1,-,-,0.1,6.71,2880
Jorge Molina Granada,40, FW,,,19(16),10,5,1.3,0.9,0.2,1.1,0.3,0.7,1.5,6.71,1958
Giorgi Mamardashvili Valencia,21, GK,,,18,-,-,-,-,-,0.1,-,-,0.1,6.71,1620
Franco Cervi Celta Vigo,28, AM(CL),,,22(12),4,3,0.6,0.4,0.6,1.2,0.1,0.6,1.4,6.71,1811
Mamadou Loum Deportivo Alaves,25, DMC,,,26(6),2,-,1,0.3,0.8,0.7,-,0.8,1.5,6.7,2317
Marcelo Real Madrid,34, D(L),M(L),,5(7),-,2,0.7,0.8,0.8,0.7,-,0.1,0.6,6.7,521
Marko Dmitrovic Sevilla,30, GK,,,7,-,-,-,-,-,-,-,-,0.1,6.7,541
Rubén García Osasuna,28, AM(CLR),FW,,30(7),1,6,0.9,1.6,0.6,0.8,0.2,0.5,1.5,6.7,2399
Antonio Blanco Real Madrid,21, Midfielder,,,0(1),-,-,-,-,1,-,-,1,-,6.7,31
Álex Remiro Real Sociedad,27, GK,,,35,-,-,-,-,-,0.1,-,-,-,6.7,3150
Ansu Fati Barcelona,19, AM(L),,,3(7),4,-,1.8,0.2,0.4,1.2,0.3,0.2,1.8,6.7,334
Jorge de Frutos Levante,25, AM(R),,,20(5),4,7,1.8,0.9,1.4,0.8,0.5,0.6,2,6.7,1766
Adrián Embarba Espanyol,30, AM(CLR),FW,,24(8),-,2,1.5,1.2,1.3,1.3,0.2,1.2,1.8,6.69,1998
Thomas Delaney Sevilla,30, DMC,,,15(11),2,1,0.7,0.4,0.2,0.8,-,0.2,0.4,6.69,1545
Damián Suárez Getafe,34, D(R),M(R),,31(4),-,3,0.4,1.3,0.4,0.9,-,0.4,1.1,6.69,2721
Fernando Sevilla,34, DMC,,,21(3),1,1,0.3,0.3,0.3,0.5,-,0.3,1,6.69,1851
Johan Mojica Elche,29, D(L),M(L),,32(1),2,5,0.5,0.9,0.9,1.5,0.1,0.6,1.5,6.69,2857
Marcelo Saracchi Levante,24, D(L),,,2(2),-,1,-,1.5,0.5,-,-,0.3,0.5,6.69,186
Lucas Olaza Elche,27, D(L),M(L),,3(2),1,-,0.8,1.2,0.4,0.8,-,0.6,0.8,6.69,293
Helibelton Palacios Elche,28, D(R),,,22(4),-,-,-,0.3,1,1.2,-,0.4,0.6,6.69,1932
Nahuel Tenaglia Deportivo Alaves,26, D(CR),,,12(2),-,-,0.4,0.2,0.5,0.6,-,0.4,1,6.68,1073
Adrià Pedrosa Espanyol,24, D(L),M(L),,31,1,1,0.8,0.7,1.5,1.5,-,0.8,2,6.68,2723
Luis Suárez Granada,24, AM(L),FW,,34(3),8,4,2.3,0.8,1.2,1,0.1,1.1,2.8,6.68,2857
Jesús Corona Sevilla,29, D(R),M(CLR),FW,12(6),2,4,0.7,1.4,1.1,1.5,0.4,1.6,2,6.68,1161
Rui Silva Real Betis,28, GK,,,21(1),-,-,-,-,-,0.1,-,-,0.1,6.68,1963
Lucas Pérez Cadiz,33, AM(CR),FW,,11(4),3,2,1,2,0.3,0.6,0.7,1,0.7,6.68,1061
Oihan Sancet Athletic Bilbao,22, AM(C),FW,,16(11),6,4,1.1,1,0.9,1,0.2,1.7,2.3,6.68,1426
Iñigo Ruiz de Galarreta Mallorca,28, DMC,,,17(5),-,-,0.4,0.5,1.2,1.5,-,0.7,0.9,6.68,1390
Borja Mayoral Getafe,25, FW,,,11(7),6,1,0.9,0.7,0.8,1.1,0.2,0.9,1.4,6.68,1049
Gonzalo Escalante Deportivo Alaves,29, DMC,,,15(2),5,-,0.9,0.4,0.4,1.4,0.2,0.8,0.8,6.67,1307
Marcos Llorente Atletico,27, D(R),M(CR),FW,29,-,2,0.6,0.9,0.7,0.6,0.2,0.8,1.4,6.67,2456
Ángel Correa Atletico,27, AM(CLR),FW,,21(15),12,5,1.4,0.7,0.9,0.8,0.3,1.3,2,6.67,1860
Raúl Albiol Villarreal,36, D(C),,,28,-,-,0.2,0.1,0.1,0.4,0.1,0.2,0.3,6.67,2467
Nemanja Maksimovic Getafe,27, M(C),,,34(1),1,1,0.9,0.5,0.3,0.4,-,0.3,0.7,6.67,2943
Isi Palazón Rayo Vallecano,27, AM(R),,,27(7),2,4,1.7,1,1.1,2,0.1,1.6,2.5,6.67,2301
Fidel Elche,32, M(CLR),,,29(4),5,6,0.5,1.2,1.3,0.9,0.2,1.2,1.9,6.67,2283
Koke Atletico,30, M(CLR),,,29(2),1,2,0.4,0.8,0.4,0.9,-,1,0.8,6.66,2512
Andoni Gorosabel Real Sociedad,25, D(R),,,25(7),-,4,0.3,0.7,0.6,0.6,-,0.4,0.8,6.66,2298
Rodrygo Real Madrid,21, AM(CLR),,,17(16),4,4,1,0.8,0.8,0.9,0.4,0.5,1.5,6.66,1528
Óscar Valentín Rayo Vallecano,27, DMC,,,29(6),-,-,0.3,0.4,0.5,1.6,-,0.3,1,6.65,2580
Thierry Correia Valencia,23, D(R),M(R),,18(1),-,1,0.2,0.4,0.6,1.5,-,0.4,1.5,6.65,1424
Rubén Duarte Deportivo Alaves,26, D(CL),,,31(3),-,4,0.3,0.6,0.1,1.2,0.1,0.2,0.6,6.65,2630
Nacho Real Madrid,32, D(CLR),,,17(11),3,-,0.4,0.3,0.1,0.5,-,-,0.3,6.65,1549
Fran García Rayo Vallecano,22, D(L),,,34,1,-,0.7,0.9,0.6,0.4,0.1,0.4,1.6,6.65,3027
Francis Coquelin Villarreal,31, M(CLR),,,8(12),2,1,0.3,0.5,0.9,0.7,-,0.9,0.7,6.65,828
Jesús Navas Sevilla,36, D(R),M(R),,19(6),-,3,0.4,1.4,0.2,0.4,0.1,0.3,0.6,6.64,1788
Alberto Moreno Villarreal,29, D(L),M(L),,13(11),3,2,0.9,0.7,0.4,0.9,0.3,0.5,1.3,6.64,1223
David Soria Getafe,29, GK,,,38,-,-,-,-,-,0.1,-,-,0.1,6.64,3415
Shkodran Mustafi Levante,30, D(CR),,,8(3),1,-,0.4,-,0.2,0.4,0.3,0.1,0.1,6.64,658
Yangel Herrera Espanyol,24, M(C),,,19(4),1,1,0.7,0.5,0.8,1.5,-,1,1.2,6.64,1650
Matías Dituro Celta Vigo,35, GK,,,38,-,-,-,-,-,0.1,-,-,0.1,6.64,3420
Yeremi Pino Villarreal,19, AM(R),,,21(10),6,4,0.9,0.8,0.8,1.1,0.3,0.7,2.1,6.63,1688
Youssouf Sabaly Real Betis,29, D(LR),M(R),,9(1),-,1,0.4,0.7,0.6,0.9,0.1,0.7,2.2,6.63,789
José Gayà Valencia,27, D(L),M(L),,22(2),2,4,0.8,1,0.7,0.9,0.2,0.2,0.5,6.63,1875
