,Unnamed: 0,Player,Name,Age,position1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
159,159,"160Tommaso PobegaTorino, 22, AM(C)",Tommaso Pobega,22, AM(C),,,24(9),2240,4,3,11,-,1.5,79.5,2.3,2,6.69
160,160,"161Nedim BajramiEmpoli, 23, AM(C)",Nedim Bajrami,23, AM(C),,,23(12),2063,6,5,3,-,1.5,79.3,-,1,6.68
161,161,"162Alexis SaelemaekersAC Milan, 22, M(R)",Alexis Saelemaekers,22, M(R),,,22(14),1869,1,3,2,-,1.1,83,0.3,1,6.68
162,162,"163Ales MatejuVenezia, 26, D(CLR)",Ales Mateju,26, D(CLR),,,9,731,-,1,3,-,0.2,75.6,1.2,-,6.68
163,163,"164Mattia AramuVenezia, 27, AM(CR)",Mattia Aramu,27, AM(CR),,,25(7),2112,7,5,6,-,1.8,75.2,0.3,1,6.68
164,164,"165Mattia VitiEmpoli, 20, D(C)",Mattia Viti,20, D(C),,,16(4),1489,-,-,1,1,0.2,83.6,1.5,-,6.68
165,165,"166Nahuel MolinaUdinese, 24, D(R),M(R)",Nahuel Molina,24, D(R),M(R),,31(4),2650,7,2,5,1,1.3,72.9,0.3,1,6.68
166,166,"167Mohamed FaresGenoa, 26, D(L),M(L)",Mohamed Fares,26, D(L),M(L),,6(3),586,2,1,2,-,1.4,70.1,1,1,6.68
167,167,"168Andrea RanocchiaInter, 34, D(C)",Andrea Ranocchia,34, D(C),,,3(3),338,-,-,1,-,0.3,91.9,2.7,-,6.68
168,168,"169Simone RomagnoliEmpoli, 32, D(C)",Simone gnoli,32, D(C),,,17(2),1498,2,-,3,-,0.3,77.6,2.9,-,6.68
169,169,"170Francesco CaputoSampdoria, 34, FW",Francesco Caputo,34, FW,,,31(5),2799,11,4,-,-,1.5,76.3,0.7,1,6.68
170,170,"171Ola AinaTorino, 25, D(CLR),M(LR)",Ola Aina,25, D(CLR),M(LR),,17(4),1442,-,-,4,-,0.5,73.7,0.8,-,6.68
171,171,"172Bartosz BereszynskiSampdoria, 29, D(CR),M(R)",Bartosz Bereszynski,29, D(CR),M(R),,35,2956,-,3,12,-,0.2,79.1,1.3,-,6.67
172,172,"173Nicolò ZanioloRoma, 22, AM(CR),FW",Nicolò Zaniolo,22, AM(CR),FW,,23(5),1985,2,2,10,2,2.5,76.9,0.7,2,6.67
173,173,"174Lucas TorreiraFiorentina, 26, DMC",Lucas Torreira,26, DMC,,,26(5),2201,5,1,8,1,0.9,87.7,0.6,3,6.67
174,174,"175Davide BiraschiGenoa, 27, D(CR),M(R)",Davide Biraschi,27, D(CR),M(R),,11(3),935,-,-,4,-,0.2,73.8,1.5,1,6.67
175,175,"176Riccardo OrsoliniBologna, 25, M(CR),FW",Riccardo Orsolini,25, M(CR),FW,,21(8),1794,6,3,2,-,1.8,70.6,0.9,-,6.67
176,176,"177Pasquale MazzocchiSalernitana, 26, D(R),M(R)",Pasquale Mazzocchi,26, D(R),M(R),,15,1277,-,2,2,-,0.3,79.9,0.7,-,6.67
177,177,"178Luigi SepeSalernitana, 31, GK",Luigi Sepe,31, GK,,,16,1394,-,-,2,-,-,68.1,0.3,-,6.67
178,178,"179Jakub KiwiorSpezia, 22, DMC",Jakub Kiwior,22, DMC,,,21(1),1963,-,-,6,-,0.4,78.2,1.4,1,6.66
179,179,"180Emil AuderoSampdoria, 25, GK",Emil Audero,25, GK,,,29,2562,-,-,2,-,-,67,0.3,-,6.66
180,180,"181Morten ThorsbySampdoria, 26, M(CLR)",Morten Thorsby,26, M(CLR),,,35,2952,3,1,10,-,0.7,71.1,4.9,2,6.66
181,181,"182Omar ColleySampdoria, 29, D(C)",Omar Colley,29, D(C),,,31(1),2749,-,-,6,1,0.3,83.7,1.8,-,6.66
182,182,"183Nicola ZalewskiRoma, 20, M(L)",Nicola Zalewski,20, M(L),,,9(7),799,-,-,1,-,0.6,80.8,0.1,-,6.66
183,183,"184Luiz FelipeLazio, 25, D(C)",Luiz Felipe,25, D(C),,,28(3),2494,-,-,10,1,0.2,91.6,1.4,2,6.66
184,184,"185Mattias SvanbergBologna, 23, M(CL)",Mattias Svanberg,23, M(CL),,,31(5),2576,3,3,7,-,1.1,76.6,0.6,1,6.66
185,185,"186Koray GünterVerona, 27, D(C)",Koray Günter,27, D(C),,,29(1),2416,-,-,10,-,0.2,80.7,3,2,6.66
186,186,"187Mattia CaldaraVenezia, 28, D(C)",Mattia Caldara,28, D(C),,,30(1),2703,1,-,9,-,0.5,82,1.6,-,6.66
187,187,"188Rodrigo BentancurJuventus, 24, M(C)",Rodrigo Bentancur,24, M(C),,,13(6),1157,-,2,1,-,0.4,87.5,1.1,1,6.65
188,188,"189Antonio SanabriaTorino, 26, FW",Antonio Sanabria,26, FW,,,22(7),1814,6,2,3,-,1.7,72.5,2.7,1,6.65
189,189,"190Rodrigo BecãoUdinese, 26, D(C)",Rodrigo Becão,26, D(C),,,35,3132,2,1,10,-,0.5,80.5,1.8,1,6.65
190,190,"191Ivan IlicVerona, 21, M(C)",Ivan Ilic,21, M(C),,,30(2),2537,1,4,5,1,0.7,82.3,1.6,-,6.65
191,191,"192Mamadou CoulibalySalernitana, 23, M(C)",Mamadou Coulibaly,23, M(C),,,9(3),810,2,-,1,-,0.8,76.9,0.8,1,6.64
192,192,"193Francesco CaputoSassuolo, 34, FW",Francesco Caputo,34, FW,,,2,158,-,1,1,-,2,77.8,1,-,6.64
193,193,"194Nahitan NándezCagliari, 26, M(CLR)",Nahitan Nández,26, M(CLR),,,16(5),1521,-,2,4,-,1,74.4,2.1,-,6.63
194,194,"195Alessandro FlorenziAC Milan, 31, D(R),M(CLR)",Alessandro Florenzi,31, D(R),M(CLR),,12(12),1152,2,-,2,-,0.9,82.4,0.4,-,6.63
195,195,"196Stefano SensiSampdoria, 26, AM(C)",Stefano Sensi,26, AM(C),,,10(1),761,1,-,1,-,0.9,82.7,0.7,-,6.63
196,196,"197Bram NuytinckUdinese, 32, D(C)",Bram Nuytinck,32, D(C),,,23(4),2037,1,-,2,-,0.4,84.3,1.2,1,6.63
197,197,"198Silvan HeftiGenoa, 24, D(R)",Silvan Hefti,24, D(R),,,14(2),1290,-,-,1,-,0.3,70.4,0.4,-,6.63
198,198,"199Davide ZappacostaAtalanta, 29, D(R),M(LR)",Davide Zappacosta,29, D(R),M(LR),,29(5),2360,1,5,6,-,1.1,86.1,0.2,1,6.63
199,199,"200Brahim DíazAC Milan, 22, AM(CLR)",Brahim Díaz,22, AM(CLR),,,25(6),1872,3,3,4,-,1,86,0.1,-,6.62
200,200,"201Alexis SánchezInter, 33, M(CLR),FW",Alexis Sánchez,33, M(CLR),FW,,7(20),863,5,2,-,-,1.2,81.1,0.4,-,6.62
201,201,"202Igor JulioFiorentina, 24, D(C),M(L)",Igor Julio,24, D(C),M(L),,23(7),2240,-,-,3,-,0.2,91.9,1.5,-,6.62
202,202,"203Alex FerrariSampdoria, 27, D(CR)",Alex Ferrari,27, D(CR),,,20(3),1653,1,-,4,-,0.2,83.8,1,1,6.62
203,203,"204Matteo PessinaAtalanta, 25, AM(C)",Matteo Pessina,25, AM(C),,,18(9),1444,1,1,-,-,1,82.6,1,-,6.62
204,204,"205Koffi DjidjiTorino, 29, D(CL)",Koffi Djidji,29, D(CL),,,21(4),1738,-,-,4,1,0.4,84.4,1.8,-,6.61
205,205,"206Jérémie BogaSassuolo, 25, AM(CLR),FW",Jérémie Boga,25, AM(CLR),FW,,8(4),672,-,2,-,-,1.3,83.3,0.2,-,6.61
206,206,"207Andrea ConsigliSassuolo, 35, GK",Andrea Consigli,35, GK,,,37,3322,-,-,2,-,-,77,0.3,3,6.61
207,207,"208Rolando MandragoraTorino, 24, DMC",Rolando Mandragora,24, DMC,,,16(5),1319,-,2,5,1,1.1,86.4,0.8,-,6.61
208,208,"209Arthur TheateBologna, 22, D(C)",Arthur Theate,22, D(C),,,28(3),2428,2,1,6,-,0.7,83.7,1.3,-,6.61
209,209,"210Roberto SorianoBologna, 31, AM(CLR)",Roberto Soriano,31, AM(CLR),,,32(3),2639,-,4,4,2,0.7,82,0.7,-,6.61
210,210,"211Mattia De SciglioJuventus, 29, D(CLR),M(LR)",Mattia De Sciglio,29, D(CLR),M(LR),,13(7),1168,1,2,2,1,0.3,81.8,0.8,-,6.61
211,211,"212Pawel DawidowiczVerona, 27, D(C)",Pawel Dawidowicz,27, D(C),,,13(4),1196,-,-,3,-,0.4,86.3,1.3,-,6.6
212,212,"213Pietro TerraccianoFiorentina, 32, GK",Pietro Terracciano,32, GK,,,31(1),2860,-,-,-,-,-,77.7,0.4,1,6.6
213,213,"214Berat DjimsitiAtalanta, 29, D(C)",Berat Djimsiti,29, D(C),,,25(6),2257,1,1,6,-,0.6,83,1.9,-,6.6
214,214,"215Rui PatrícioRoma, 34, GK",Rui Patrício,34, GK,,,38,3420,-,-,2,-,-,74,0.1,-,6.6
215,215,"216Rick KarsdorpRoma, 27, D(R),M(R)",Rick Karsdorp,27, D(R),M(R),,32(4),2890,-,2,7,1,0.1,83.2,0.1,-,6.59
216,216,"217Luca PellegriniJuventus, 23, D(L),M(L)",Luca Pellegrini,23, D(L),M(L),,15(3),1117,-,1,6,-,0.3,80.6,0.5,-,6.59
217,217,"218Aleksey MiranchukAtalanta, 26, M(CR),FW",Aleksey Miranchuk,26, M(CR),FW,,7(12),769,2,5,-,-,0.7,82.9,0.5,-,6.59
218,218,"219Gianluca ManciniRoma, 26, D(C),DMC",Gianluca Mancini,26, D(C),DMC,,33,2884,-,-,14,1,0.7,85,2.1,-,6.59
219,219,"220Salvatore SiriguGenoa, 35, GK",Salvatore Sirigu,35, GK,,,37,3330,-,-,-,-,-,62.8,0.2,1,6.59
220,220,"221Simon KjaerAC Milan, 33, D(C)",Simon Kjaer,33, D(C),,,10(1),806,-,-,2,-,0.5,88.4,1.2,-,6.59
221,221,"222Nicolò CasaleVerona, 24, D(C)",Nicolò Casale,24, D(C),,,30(6),2596,-,2,10,-,0.3,81.2,1.9,-,6.58
222,222,"223Daniele PadelliUdinese, 36, GK",Daniele Padelli,36, GK,,,3,270,-,-,-,-,-,65.2,0.3,1,6.58
223,223,"224Marco SportielloAtalanta, 30, GK",Marco Sportiello,30, GK,,,6,451,-,-,1,-,-,69.6,0.2,-,6.58
224,224,"225Kevin AgudeloSpezia, 23, AM(CR),FW",Kevin Agudelo,23, AM(CR),FW,,12(11),1236,3,1,2,1,0.9,76.4,0.7,-,6.58
225,225,"226Adam MarusicLazio, 29, D(CLR),M(LR)",Adam Marusic,29, D(CLR),M(LR),,30(3),2720,1,1,4,1,0.2,89.4,1,-,6.58
226,226,"227Ricardo RodríguezTorino, 29, D(CL),M(L)",Ricardo Rodríguez,29, D(CL),M(L),,28(6),2472,-,1,3,-,0.3,87.5,1.6,2,6.58
227,227,"228Alessandro BuongiornoTorino, 23, D(C)",Alessandro Buongiorno,23, D(C),,,12(11),1184,-,2,5,-,0.3,81.6,2.3,-,6.58
228,228,"229Juan MussoAtalanta, 28, GK",Juan Musso,28, GK,,,33,2932,-,-,1,1,-,70.3,0.2,-,6.58
229,229,"230Matteo DarmianInter, 32, D(CLR),M(LR)",Matteo Darmian,32, D(CLR),M(LR),,18(7),1509,2,1,4,-,0.3,80.2,0.7,-,6.58
230,230,"231Raoul BellanovaCagliari, 22, M(R)",Raoul Bellanova,22, M(R),,,27(4),2498,1,2,3,-,0.7,75.8,0.5,-,6.58
231,231,"232Alex SandroJuventus, 31, D(CL),M(L)",Alex Sandro,31, D(CL),M(L),,17(11),1776,-,1,3,-,0.3,85.9,1.1,-,6.57
232,232,"233Danilo CataldiLazio, 27, M(C)",Danilo Cataldi,27, M(C),,,19(13),1713,1,2,7,-,0.4,88.9,0.2,1,6.57
233,233,"234Federico BernardeschiJuventus, 28, M(CLR),FW",Federico Bernardeschi,28, M(CLR),FW,,16(12),1480,1,2,5,-,1.2,82.1,0.3,1,6.57
234,234,"235Erick PulgarFiorentina, 28, DMC",Erick Pulgar,28, DMC,,,4(2),341,-,1,2,-,0.5,88,0.7,-,6.57
235,235,"236Jérémie BogaAtalanta, 25, AM(CLR),FW",Jérémie Boga,25, AM(CLR),FW,,7(8),765,-,-,-,-,1.4,82.6,0.2,-,6.57
236,236,"237Dennis PraetTorino, 28, AM(CR)",Dennis Praet,28, AM(CR),,,17(6),1544,2,2,3,-,1,77.5,0.3,-,6.57
237,237,"238Thomas HenryVenezia, 27, FW",Thomas Henry,27, FW,,,23(10),2122,9,3,4,1,1.5,61.9,2.8,1,6.57
238,238,"239Samuele RicciEmpoli, 20, M(C)",Samuele Ricci,20, M(C),,,17(4),1533,1,1,1,1,0.4,89.9,0.2,1,6.57
239,239,"240Alessio CragnoCagliari, 27, GK",Alessio Cragno,27, GK,,,35,3150,-,-,3,-,-,60.9,0.3,-,6.57
240,240,"241Riccardo SaponaraFiorentina, 30, AM(CL)",Riccardo Saponara,30, AM(CL),,,13(16),1287,3,3,1,-,1.3,79.7,0.2,-,6.57
241,241,"242Grigoris KastanosSalernitana, 24, AM(CR)",Grigoris Kastanos,24, AM(CR),,,16(11),1346,1,1,4,1,1,75.1,0.7,2,6.57
242,242,"243Matias ViñaRoma, 24, D(L),M(L)",Matias Viña,24, D(L),M(L),,18(8),1566,-,1,2,-,0.5,79.1,0.7,-,6.57
243,243,"244Matteo PolitanoNapoli, 28, AM(CLR),FW",Matteo Politano,28, AM(CLR),FW,,20(13),1659,3,4,3,-,1.3,77.3,0.2,1,6.56
244,244,"245Jean-Victor MakengoUdinese, 23, AM(CL)",Jean-Victor Makengo,23, AM(CL),,,26(7),2360,1,3,5,1,1,84.2,0.3,1,6.56
245,245,"246RogerioSassuolo, 24, D(L),M(L)",Rogerio,24, D(L),M(L),,19(4),1733,-,1,5,-,0.6,85.7,0.4,-,6.56
246,246,"247Ainsley Maitland-NilesRoma, 24, D(LR),M(CLR)",Ainsley Maitland-Niles,24, D(LR),M(CLR),,7(1),493,-,-,-,-,0.4,78.5,1,-,6.56
247,247,"248Ridgeciano HapsVenezia, 28, D(L),M(L)",Ridgeciano Haps,28, D(L),M(L),,24(1),2062,1,1,6,-,0.4,75.2,1,-,6.56
248,248,"249Denis ZakariaJuventus, 25, D(C),DMC",Denis Zakaria,25, D(C),DMC,,6(3),598,1,1,1,-,1,79.6,0.2,1,6.56
249,249,"250Stephan El ShaarawyRoma, 29, AM(CLR),FW",Stephan El Shaarawy,29, AM(CLR),FW,,8(19),1047,3,-,1,-,1.4,84.2,0.5,-,6.56
250,250,"251Marash KumbullaRoma, 22, D(C)",Marash Kumbulla,22, D(C),,,13(4),1030,-,-,6,-,0.4,86.1,1.3,-,6.56
251,251,"252Armando IzzoTorino, 30, D(C)",Armando Izzo,30, D(C),,,6(5),526,-,-,4,-,0.5,78.8,1.4,-,6.56
252,252,"253Kelvin AmianSpezia, 24, D(CLR)",Kelvin Amian,24, D(CLR),,,31(1),2652,1,1,7,2,0.8,77.2,1.3,-,6.56
253,253,"254Andrea CambiasoGenoa, 22, D(R),M(L)",Andrea Cambiaso,22, D(R),M(L),,21(5),1795,1,4,3,1,0.5,82.2,0.3,-,6.56
254,254,"255Daniele RuganiJuventus, 27, D(C)",Daniele Rugani,27, D(C),,,9(3),881,-,-,2,-,0.2,91,1.3,-,6.56
255,255,"256Lorenzo De SilvestriBologna, 34, D(R),M(R)",Lorenzo De Silvestri,34, D(R),M(R),,27(4),2300,3,2,7,-,0.5,73.3,2.5,-,6.55
256,256,"257Marco SilvestriUdinese, 31, GK",Marco Silvestri,31, GK,,,35,3150,-,-,1,-,-,65.1,0.3,1,6.55
257,257,"258Thomas StrakoshaLazio, 27, GK",Thomas Strakosha,27, GK,,,23,2070,-,-,2,-,-,81.1,0.3,-,6.55
258,258,"259Isaac SuccessUdinese, 26, AM(LR),FW",Isaac Success,26, AM(LR),FW,,11(11),911,2,7,1,1,1.1,64.8,0.7,1,6.55
259,259,"260Nehuen PérezUdinese, 21, D(C)",Nehuen Pérez,21, D(C),,,19(1),1695,-,1,6,-,0.5,77.8,1.5,-,6.54
260,260,"261David ZimaTorino, 21, D(C)",David Zima,21, D(C),,,13(7),1310,-,1,3,-,0.3,84.8,2.3,-,6.54
261,261,"262Eljif ElmasNapoli, 22, M(CLR)",Eljif Elmas,22, M(CLR),,,12(25),1601,3,5,3,-,0.9,87.8,0.2,1,6.54
262,262,"263Alessandro BerardiVerona, 31, Goalkeeper",Alessandro Berardi,31, Goalkeeper,,,1,90,-,-,-,-,-,34.6,-,-,6.54
263,263,"264Diego GodínCagliari, 36, D(C)",Diego Godín,36, D(C),,,9(2),819,-,1,3,-,0.6,90,1.6,-,6.54
264,264,"265Rade KrunicAC Milan, 28, M(CL)",Rade Krunic,28, M(CL),,,15(13),1414,-,2,2,-,0.4,84.8,0.9,-,6.54
265,265,"266Emmanuel GyasiSpezia, 28, M(LR),FW",Emmanuel Gyasi,28, M(LR),FW,,35(1),3045,6,-,10,-,1.1,83.6,0.9,-,6.54
266,266,"267Ciprian TatarusanuAC Milan, 36, GK",Ciprian Tatarusanu,36, GK,,,6,540,-,-,-,-,-,76.8,-,-,6.54
267,267,"268Manolo PortanovaGenoa, 22, AM(CL)",Manolo Portanova,22, AM(CL),,,17(7),1333,1,-,4,-,1.2,62.3,1,1,6.53
268,268,"269Matteo LovatoCagliari, 22, D(C)",Matteo Lovato,22, D(C),,,14(2),1243,-,-,4,-,0.4,82.6,1.3,-,6.53
269,269,"270Niki MäenpääVenezia, 37, GK",Niki Mäenpää,37, GK,,,16(1),1485,-,1,1,-,-,62.5,0.4,2,6.53
270,270,"271Arthur CabralFiorentina, 24, FW",Arthur Cabral,24, FW,,,8(6),750,2,2,1,-,1.6,78.6,0.9,-,6.53
271,271,"272Gian Marco FerrariSassuolo, 30, D(C)",Gian Marco Ferrari,30, D(C),,,35(1),3127,1,-,4,1,0.7,90,2.2,-,6.53
272,272,"273Albin EkdalSampdoria, 32, M(C)",Albin Ekdal,32, M(C),,,19(7),1641,1,-,9,1,0.5,79.2,0.9,1,6.53
273,273,"274Mattia DestroGenoa, 31, FW",Mattia Destro,31, FW,,,21(6),1754,9,1,4,-,2,58.1,2.3,2,6.53
274,274,"275Roberto PereyraUdinese, 31, M(CLR),FW",Roberto Pereyra,31, M(CLR),FW,,22(2),1799,3,5,8,1,1.3,87.1,-,-,6.53
275,275,"276Antonio VaccaVenezia, 32, M(C)",Antonio Vacca,32, M(C),,,15(6),1070,-,1,5,-,-,85.6,0.2,-,6.53
276,276,"277Maya YoshidaSampdoria, 33, D(CR)",Maya Yoshida,33, D(CR),,,19(7),1823,2,3,2,-,0.3,84.8,1.6,-,6.53
277,277,"278Martin ErlicSpezia, 24, D(C)",Martin Erlic,24, D(C),,,30,2579,2,-,5,-,0.5,80.6,1.9,-,6.53
278,278,"279Gaetano CastrovilliFiorentina, 25, M(C)",Gaetano Castrovilli,25, M(C),,,16(7),1400,1,1,4,-,0.7,80.2,0.3,-,6.52
279,279,"280Adrien SilvaSampdoria, 33, M(C)",Adrien Silva,33, M(C),,,12(5),1086,-,1,3,1,0.5,85.5,0.6,-,6.52
280,280,"281Miguel VelosoVerona, 36, M(C)",Miguel Veloso,36, M(C),,,17(5),1347,-,3,5,1,0.8,83,1.2,-,6.52
281,281,"282Gary MedelBologna, 34, D(C),DMC",Gary Medel,34, D(C),DMC,,32(1),2831,-,1,8,1,0.1,89.3,0.5,-,6.52
282,282,"283Aimar SherSpezia, 19, Midfielder",Aimar Sher,19, Midfielder,,,0(1),45,-,-,-,-,-,90.5,1,-,6.52
283,283,"284Fabiano ParisiEmpoli, 21, D(L)",Fabiano Parisi,21, D(L),,,16(9),1474,-,1,5,-,0.6,77.9,0.3,-,6.52
284,284,"285Elseid HysajLazio, 28, D(LR),M(R)",Elseid Hysaj,28, D(LR),M(R),,24(5),2031,1,-,3,-,0.1,87.4,0.6,-,6.52
285,285,"286Manuel LazzariLazio, 28, D(R),M(R)",Manuel Lazzari,28, D(R),M(R),,16(15),1655,3,3,3,-,0.4,87.7,0.1,-,6.51
286,286,"287Nikola MaksimovicGenoa, 30, D(CR),M(R)",Nikola Maksimovic,30, D(CR),M(R),,13(1),1116,-,-,2,-,0.2,83.3,2.4,1,6.51
287,287,"288Petko HristovSpezia, 23, D(C)",Petko Hristov,23, D(C),,,13(4),1245,1,1,3,-,0.1,80.7,2.2,-,6.51
288,288,"289Felipe CaicedoGenoa, 33, FW",Felipe Caicedo,33, FW,,,1(8),279,1,2,1,-,1.3,68,1.7,-,6.51
289,289,"290Juan JesusNapoli, 30, D(CL)",Juan Jesus,30, D(CL),,,14(7),1273,1,-,1,-,0.2,88.5,1.4,-,6.51
290,290,"291Jacopo DeziVenezia, 30, Midfielder",Jacopo Dezi,30, Midfielder,,,0(1),16,-,-,-,-,1,95.5,1,-,6.51
291,291,"292Tolgay ArslanUdinese, 31, M(C)",Tolgay Arslan,31, M(C),,,22(8),1677,1,1,9,-,0.8,81.8,0.2,-,6.51
292,292,"293Razvan MarinCagliari, 26, M(C)",Razvan Marin,26, M(C),,,31(5),2817,-,5,4,1,1.1,81.3,0.6,1,6.5
293,293,"294Adama SoumaoroBologna, 29, D(CR)",Adama Soumaoro,29, D(CR),,,26(2),2267,-,-,6,2,0.3,89.2,1.6,-,6.5
294,294,"295Diego CoppolaVerona, 18, Defender",Diego Coppola,18, Defender,,,3(1),249,-,-,-,-,0.3,78.6,2.8,-,6.5
295,295,"296Gianluca BusioVenezia, 20, M(C)",Gianluca Busio,20, M(C),,,23(6),1956,1,2,8,-,0.5,84.6,1.1,1,6.49
296,296,"297Lorenzo TonelliEmpoli, 32, D(C)",Lorenzo Tonelli,32, D(C),,,8(6),868,-,-,4,-,0.5,82.9,2.1,-,6.49
297,297,"298Lucas LeivaLazio, 35, D(C),M(C)",Lucas Leiva,35, D(C),M(C),,19(16),1698,-,1,9,-,0.1,92.1,0.7,-,6.49
298,298,"299Tommaso AugelloSampdoria, 27, D(L)",Tommaso Augello,27, D(L),,,25(11),2398,1,1,-,-,0.2,78.9,0.9,-,6.49
299,299,"300Sofian KiyineVenezia, 24, AM(CL)",Sofian Kiyine,24, AM(CL),,,14(12),1239,1,-,8,1,0.8,79.3,0.5,1,6.49
300,300,"301David OkerekeVenezia, 24, AM(CR),FW",David Okereke,24, AM(CR),FW,,24(8),2064,7,-,5,1,1.3,72.4,1,-,6.49
301,301,"302Nicolas HaasEmpoli, 26, M(C)",Nicolas Haas,26, M(C),,,11(5),1007,-,2,3,-,0.4,79.7,0.3,-,6.49
302,302,"303Lorenzo MontipòVerona, 26, GK",Lorenzo Montipò,26, GK,,,34,3060,-,-,1,-,-,49.9,0.3,-,6.49
303,303,"304Marko PjacaTorino, 27, AM(CL),FW",Marko Pjaca,27, AM(CL),FW,,13(11),1146,3,-,-,-,0.9,77.9,0.8,1,6.48
304,304,"305Alessandro DeiolaCagliari, 26, M(C)",Alessandro Deiola,26, M(C),,,28(5),2147,4,1,5,-,0.8,77.5,1.2,1,6.48
305,305,"306Lazar SamardzicUdinese, 20, Midfielder",Lazar Samardzic,20, Midfielder,,,1(21),472,2,2,-,-,0.8,84.1,0.3,-,6.48
306,306,"307Leonardo PavolettiCagliari, 33, FW",Leonardo Pavoletti,33, FW,,,14(19),1508,5,1,9,-,1.1,64.8,3.8,1,6.48
307,307,"308ArthurJuventus, 25, DMC",Arthur,25, DMC,,,11(9),957,-,-,3,-,0.1,89.7,0.2,-,6.48
308,308,"309Cristian AnsaldiTorino, 35, D(CLR),M(CLR)",Cristian Ansaldi,35, D(CLR),M(CLR),,5(14),678,-,3,2,-,0.4,74.6,0.2,-,6.48
309,309,"310Ignacio PussettoUdinese, 26, AM(CLR),FW",Ignacio Pussetto,26, AM(CLR),FW,,11(17),1202,4,4,4,-,1.1,71.8,1.1,1,6.48
310,310,"311Bartlomiej DragowskiFiorentina, 24, GK",Bartlomiej Dragowski,24, GK,,,7,557,-,-,-,1,-,79.1,-,1,6.48
311,311,"312Tomás RincónSampdoria, 34, M(CR)",Tomás Rincón,34, M(CR),,,13(4),1171,-,-,3,-,0.1,84.3,0.8,-,6.48
312,312,"313Pietro CeccaroniVenezia, 26, D(C)",Pietro Ceccaroni,26, D(C),,,35,3122,2,1,7,1,0.5,82.6,1.1,-,6.47
313,313,"314Arkadiusz RecaSpezia, 26, D(L),M(L)",Arkadiusz Reca,26, D(L),M(L),,22(3),1779,-,2,3,-,0.3,72.9,0.7,-,6.47
314,314,"315Roberto GagliardiniInter, 28, DMC",Roberto Gagliardini,28, DMC,,,6(12),640,2,2,2,-,0.4,86.6,0.8,-,6.47
315,315,"316Ante RebicAC Milan, 28, AM(CLR),FW",Ante Rebic,28, AM(CLR),FW,,6(18),876,2,2,2,-,1.3,63.4,0.5,2,6.47
